episode,total_reward,steps,accepted,truncated,desired_duration,loop_duration,duration_error,scenic_score,diversity_score
0,-0.05,1,False,False,13.608745087617741,90.33487877881876,76.72613369120103,0.3093165759100492,0.5037593984962406
0,-0.1,2,False,False,13.608745087617741,37.873643489348254,24.264898401730512,0.31949442158880453,0.9642857142857143
0,-0.15000000000000002,3,False,False,13.608745087617741,67.12055661301476,53.511811525397015,0.8840030436149049,0.6904761904761905
0,-0.2,4,False,False,13.608745087617741,94.7220698789103,81.11332479129257,0.42644065722590757,0.5036496350364964
0,0.16431521912390268,5,True,False,13.608745087617741,94.7220698789103,81.11332479129257,0.42644065722590757,0.5036496350364964
1,-0.05,1,False,False,48.42042839580485,69.42394174420917,21.003513348404326,0.46960652348586795,0.7816091954022989
1,-0.1,2,False,False,48.42042839580485,42.11337738766783,6.307051008137016,0.40507709663569347,0.9833333333333333
1,-0.15000000000000002,3,False,False,48.42042839580485,46.24478830241432,2.175640093390527,0.3030026362211639,0.8688524590163934
1,-0.2,4,False,False,48.42042839580485,32.901483337295126,15.518945058509722,0.39287983684632494,0.9473684210526315
1,1.6396422763827099,5,True,False,48.42042839580485,32.901483337295126,15.518945058509722,0.39287983684632494,0.9473684210526315
2,-0.05,1,False,False,28.135366815340916,66.03426383901298,37.89889702367206,0.6994403452475995,0.92
2,-0.1,2,False,False,28.135366815340916,50.74152003212818,22.606153216787263,0.9835181117809728,0.7051282051282052
2,-0.15000000000000002,3,False,False,28.135366815340916,33.63786140249159,5.502494587150672,0.8501346159064045,0.6122448979591837
2,-0.2,4,False,False,28.135366815340916,27.30625888315023,0.8291079321906842,0.571535441511323,0.5151515151515151
2,2.181376113088114,5,True,False,28.135366815340916,27.30625888315023,0.8291079321906842,0.571535441511323,0.5151515151515151
3,-0.05,1,False,False,44.804578538407576,33.34897633825157,11.455602200156008,0.5455954314977873,0.8518518518518519
3,-0.1,2,False,False,44.804578538407576,39.54639653458886,5.2581820038187175,0.3620447113667852,0.725
3,-0.15000000000000002,3,False,False,44.804578538407576,41.65040106475713,3.154177473650442,0.6717196876604759,0.5098039215686274
3,-0.2,4,False,False,44.804578538407576,41.261647706222256,3.54293083218532,0.7561575382541801,0.9016393442622951
3,2.2904201802913553,5,True,False,44.804578538407576,41.261647706222256,3.54293083218532,0.7561575382541801,0.9016393442622951
4,-0.05,1,False,False,17.80373961090954,69.85639040126716,52.052650790357625,0.6577842407589845,0.5054945054945055
4,-0.1,2,False,False,17.80373961090954,53.26830715119621,35.46456754028667,0.6579187528904371,0.6818181818181818
4,-0.15000000000000002,3,False,False,17.80373961090954,45.83969073996349,28.03595112905395,0.6164151087311528,0.9041095890410958
4,-0.2,4,False,False,17.80373961090954,74.5288721990307,56.72513258812116,0.7859151476772641,0.5052631578947369
4,-0.25,5,False,False,17.80373961090954,66.10806939961888,48.304329788709346,0.6460395079397954,0.5064935064935064
4,-0.3,6,False,False,17.80373961090954,31.30264946385176,13.498909852942223,0.5584048767065477,0.9310344827586207
4,0.7420999229668699,7,True,False,17.80373961090954,31.30264946385176,13.498909852942223,0.5584048767065477,0.9310344827586207
